counts,cluster,accession,accession,evalue,bitscore,alignment_length,percentage_identity,taxonomic_annotation
barcode01,cluster24,GU823637.1.1395,GU823637.1.1395,0.0,1078,616,99.188,"Eukaryota,SAR,Stramenopiles,Ochrophyta,Diatomea,Coscinodiscophytina,Rhizosolenids,Guinardia,uncultured stramenopile"
barcode01,cluster14,EF527052.1.1368,EF527052.1.1368,0.0,1048,603,99.005,"Eukaryota,SAR,Alveolata,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,uncultured,uncultured marine eukaryote"
barcode01,cluster28,KF129847.1.1757,KF129847.1.1757,0.0,1074,620,98.871,"Eukaryota,SAR,Alveolata,Protalveolata,Syndiniales,Amoebophrya,uncultured eukaryote"
barcode01,cluster32,KU743543.1.1776,KU743543.1.1776,0.0,1044,607,98.517,"Eukaryota,Archaeplastida,Chloroplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Micromonas,uncultured Chlorophyta"
barcode01,cluster23,AJ005414.1.1777,AJ005414.1.1777,0.0,1049,614,98.371,"Eukaryota,Archaeplastida,Chloroplastida,Chlorophyta,Ulvophyceae,Ulva rigida"
barcode01,cluster1,AB499607.1.1752,AB499607.1.1752,0.0,1058,618,98.058,"Eukaryota,Amorphea,Obazoa,Opisthokonta,Holozoa,Choanozoa,Metazoa,Animalia,BCP clade,Bilateria,Deuterostomia,Chordata,Tunicata,Ascidiacea,Enterogona,Perophora japonica"
barcode02,cluster5,HQ912669.1.1636,HQ912669.1.1636,0.0,1100,614,99.837,"Eukaryota,SAR,Stramenopiles,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Cerataulina,Cerataulina pelagica"
barcode02,cluster29,L24489.1.1826,L24489.1.1826,0.0,1112,623,99.679,"Eukaryota,Amorphea,Obazoa,Opisthokonta,Holozoa,Choanozoa,Metazoa,Animalia,BCP clade,Bilateria,Protostomia,Lophotrochozoa,Mollusca,Bivalvia,Pteriomorphia,Mytiloida,Mytilus edulis"
barcode02,cluster6,KY980192.1.1694,KY980192.1.1694,0.0,1106,620,99.677,"Eukaryota,SAR,Alveolata,Dinoflagellata,Incertae Sedis,Haplozoon,Adenoides eludens"
barcode02,cluster27,AJ877014.1.1775,AJ877014.1.1775,0.0,1083,609,99.672,"Eukaryota,SAR,Alveolata,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,Strombidinopsis,Strombidinopsis acuminata"
barcode02,cluster30,KC814810.1.1751,KC814810.1.1751,0.0,1098,622,99.518,"Eukaryota,SAR,Stramenopiles,Ochrophyta,Diatomea,Coscinodiscophytina,Rhizosolenids,Leptocylindrus,Leptocylindrus aporus"
barcode02,cluster24,L33455.1.1826,L33455.1.1826,0.0,1096,621,99.517,"Eukaryota,Amorphea,Obazoa,Opisthokonta,Holozoa,Choanozoa,Metazoa,Animalia,BCP clade,Bilateria,Protostomia,Lophotrochozoa,Mollusca,Bivalvia,Pteriomorphia,Mytiloida,Mytilus trossulus (common blue mussel)"
barcode02,cluster8,KJ760061.1.1799,KJ760061.1.1799,0.0,1096,619,99.515,"Eukaryota,SAR,Alveolata,Dinoflagellata,Dinophyceae,Peridiniphycidae,Peridiniales,Heterocapsa,uncultured eukaryote"
barcode02,cluster31,AJ810854.1.1810,AJ810854.1.1810,0.0,1090,618,99.353,"Eukaryota,SAR,Stramenopiles,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Thalassiosira anguste-lineata"
barcode02,cluster0,KC309487.1.1635,KC309487.1.1635,0.0,1080,614,99.186,"Eukaryota,SAR,Stramenopiles,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Cerataulina,Cerataulina pelagica"
barcode02,cluster14,AJ005414.1.1777,AJ005414.1.1777,0.0,1071,614,99.186,"Eukaryota,Archaeplastida,Chloroplastida,Chlorophyta,Ulvophyceae,Ulva rigida"
barcode02,cluster22,KC583064.1.1774,KC583064.1.1774,0.0,1058,611,99.018,"Eukaryota,Archaeplastida,Chloroplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Micromonas,uncultured Chlorophyta"
barcode02,cluster26,KX158738.1.1775,KX158738.1.1775,0.0,1047,605,98.678,"Eukaryota,SAR,Alveolata,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,Strombidinopsis,uncultured Tintinnida"
barcode02,cluster21,MG923960.1.1711,MG923960.1.1711,0.0,1050,616,98.539,"Eukaryota,Archaeplastida,Chloroplastida,Chlorophyta,Ulvophyceae,Ulva flexuosa subsp. paradoxa"
barcode02,cluster13,KU561213.1.1710,KU561213.1.1710,0.0,1045,614,98.371,"Eukaryota,Archaeplastida,Chloroplastida,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Tetraselmis,prasinophyte sp. Xmm38S5"
barcode02,cluster28,FN689900.1.1667,FN689900.1.1667,0.0,1031,604,98.179,"Eukaryota,SAR,Alveolata,Ciliophora,Intramacronucleata,Spirotrichea,Oligotrichia,Strombidium,uncultured alveolate"
barcode03,cluster18,AY903921.1.1805,AY903921.1.1805,0.0,1105,617,99.838,"Eukaryota,Amorphea,Obazoa,Opisthokonta,Holozoa,Choanozoa,Metazoa,Animalia,BCP clade,Bilateria,Deuterostomia,Chordata,Tunicata,Ascidiacea,Stolidobranchia,Molgula retortiformis"
barcode03,cluster31,AJ535171.1.1769,AJ535171.1.1769,0.0,1105,617,99.838,"Eukaryota,SAR,Stramenopiles,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Thalassiosira,Thalassiosira sp. CCMP1281"
barcode03,cluster3,MG018339.1.2290,MG018339.1.2290,0.0,970,540,99.815,"Eukaryota,SAR,Alveolata,Ciliophora,Intramacronucleata,Litostomatea,Mesodiniidae,Myrionecta,Mesodinium rubrum"
barcode03,cluster5,DQ317115.1.1756,DQ317115.1.1756,0.0,1172,663,99.548,"Eukaryota,Amorphea,Obazoa,Opisthokonta,Holozoa,Choanozoa,Metazoa,Animalia,BCP clade,Bilateria,Protostomia,Lophotrochozoa,Annelida,Polychaeta,Palpata,Sabellida,Ficopomatus enigmaticus"
barcode03,cluster6,DQ317115.1.1756,DQ317115.1.1756,0.0,1167,660,99.545,"Eukaryota,Amorphea,Obazoa,Opisthokonta,Holozoa,Choanozoa,Metazoa,Animalia,BCP clade,Bilateria,Protostomia,Lophotrochozoa,Annelida,Polychaeta,Palpata,Sabellida,Ficopomatus enigmaticus"
barcode03,cluster22,AY903921.1.1805,AY903921.1.1805,0.0,1089,619,99.354,"Eukaryota,Amorphea,Obazoa,Opisthokonta,Holozoa,Choanozoa,Metazoa,Animalia,BCP clade,Bilateria,Deuterostomia,Chordata,Tunicata,Ascidiacea,Stolidobranchia,Molgula retortiformis"
barcode03,cluster32,AY620328.1.1251,AY620328.1.1251,0.0,1081,613,99.347,"Eukaryota,SAR,Rhizaria,Cercozoa,Novel Clade 2,uncultured Cercozoa"
barcode03,cluster2,FLMP01024628.8.1441,FLMP01024628.8.1441,0.0,955,541,99.261,"Eukaryota,SAR,Alveolata,Ciliophora,Intramacronucleata,Litostomatea,Mesodiniidae,Myrionecta,seawater metagenome"
barcode03,cluster23,L33455.1.1826,L33455.1.1826,0.0,1086,624,99.199,"Eukaryota,Amorphea,Obazoa,Opisthokonta,Holozoa,Choanozoa,Metazoa,Animalia,BCP clade,Bilateria,Protostomia,Lophotrochozoa,Mollusca,Bivalvia,Pteriomorphia,Mytiloida,Mytilus trossulus (common blue mussel)"
barcode03,cluster29,FN690733.1.1696,FN690733.1.1696,0.0,1082,618,99.191,"Eukaryota,Archaeplastida,Chloroplastida,Chlorophyta,Prasinophytae,uncultured Chlorophyta"
barcode03,cluster28,AB425966.1.1764,AB425966.1.1764,0.0,1086,618,99.191,"Eukaryota,Archaeplastida,Chloroplastida,Chlorophyta,Ulvophyceae,Ulva intestinalis (hollow green seaweed)"
barcode03,cluster25,FN690733.1.1696,FN690733.1.1696,0.0,1082,616,99.188,"Eukaryota,Archaeplastida,Chloroplastida,Chlorophyta,Prasinophytae,uncultured Chlorophyta"
barcode03,cluster24,AJ535169.1.1793,AJ535169.1.1793,0.0,1081,619,99.031,"Eukaryota,SAR,Stramenopiles,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Thalassiosira,Thalassiosira pseudonana"
barcode03,cluster34,AY620328.1.1251,AY620328.1.1251,0.0,1077,615,99.024,"Eukaryota,SAR,Rhizaria,Cercozoa,Novel Clade 2,uncultured Cercozoa"
barcode03,cluster11,KC488400.1.1619,KC488400.1.1619,0.0,1064,608,99.013,"Eukaryota,Cryptophyceae,Cryptomonadales,uncultured Cryptophyta"
barcode03,cluster33,AY620328.1.1251,AY620328.1.1251,0.0,1068,615,98.862,"Eukaryota,SAR,Rhizaria,Cercozoa,Novel Clade 2,uncultured Cercozoa"
barcode03,cluster20,ATSW01103699.264.2077,ATSW01103699.264.2077,0.0,1078,623,98.716,"Eukaryota,Amorphea,Obazoa,Opisthokonta,Holozoa,Choanozoa,Metazoa,Animalia,BCP clade,Bilateria,Deuterostomia,Chordata,Tunicata,Ascidiacea,Stolidobranchia,Botryllus schlosseri"
barcode03,cluster27,FJ032692.1.1663,FJ032692.1.1663,0.0,1072,621,98.712,"Eukaryota,Archaeplastida,Chloroplastida,Chlorophyta,Prasinophytae,uncultured prasinophyte"
barcode03,cluster10,KF129833.1.1759,KF129833.1.1759,0.0,1069,618,98.706,"Eukaryota,Haptophyta,Prymnesiophyceae,Prymnesiales,uncultured,uncultured eukaryote"
barcode03,cluster7,KU743831.1.1798,KU743831.1.1798,0.0,1054,618,98.544,"Eukaryota,Haptophyta,Prymnesiophyceae,Prymnesiales,uncultured,uncultured eukaryote"
barcode03,cluster8,KT593552.1.1312,KT593552.1.1312,0.0,1053,615,98.537,"Eukaryota,Archaeplastida,Chloroplastida,Chlorophyta,Ulvophyceae,Chaetomorpha linum"
